"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.05"
"x= 0.1, f(x) = 0.396, t(x) = 2.83951, Yintra = -1.02376, Yextra = 1.81576, Igx = 0.15"
"x= 0.2, f(x) = 0.784, t(x) = 3.93296, Yintra = -1.18248, Yextra = 2.75048, Igx = 0.25"
"x= 0.3, f(x) = 1.164, t(x) = 4.73357, Yintra = -1.20279, Yextra = 3.53079, Igx = 0.35"
"x= 0.4, f(x) = 1.536, t(x) = 5.37954, Yintra = -1.15377, Yextra = 4.22577, Igx = 0.45"
"x= 0.5, f(x) = 1.9, t(x) = 5.92448, Yintra = -1.06224, Yextra = 4.86224, Igx = 0.55"
"x= 0.6, f(x) = 2.256, t(x) = 6.39597, Yintra = -0.941984, Yextra = 5.45398, Igx = 0.65"
"x= 0.7, f(x) = 2.604, t(x) = 6.81046, Yintra = -0.80123, Yextra = 6.00923, Igx = 0.75"
"x= 0.8, f(x) = 2.944, t(x) = 7.17872, Yintra = -0.645358, Yextra = 6.53336, Igx = 0.85"
"x= 0.9, f(x) = 3.276, t(x) = 7.50826, Yintra = -0.478132, Yextra = 7.03013, Igx = 0.95"
"x= 1, f(x) = 3.6, t(x) = 7.80462, Yintra = -0.302309, Yextra = 7.50231, Igx = 1.05"
"x= 1.1, f(x) = 3.916, t(x) = 8.07198, Yintra = -0.119989, Yextra = 7.95199, Igx = 1.15"
"x= 1.2, f(x) = 4.224, t(x) = 8.31364, Yintra = 0.067182, Yextra = 8.38082, Igx = 1.25"
"x= 1.3, f(x) = 4.524, t(x) = 8.53224, Yintra = 0.25788, Yextra = 8.79012, Igx = 1.35"
"x= 1.4, f(x) = 4.816, t(x) = 8.72996, Yintra = 0.451021, Yextra = 9.18098, Igx = 1.45"
"x= 1.5, f(x) = 5.1, t(x) = 8.9086, Yintra = 0.6457, Yextra = 9.5543, Igx = 1.55"
"x= 1.6, f(x) = 5.376, t(x) = 9.0697, Yintra = 0.841149, Yextra = 9.91085, Igx = 1.65"
"x= 1.7, f(x) = 5.644, t(x) = 9.21458, Yintra = 1.03671, Yextra = 10.2513, Igx = 1.75"
"x= 1.8, f(x) = 5.904, t(x) = 9.34437, Yintra = 1.23182, Yextra = 10.5762, Igx = 1.85"
"x= 1.9, f(x) = 6.156, t(x) = 9.46007, Yintra = 1.42597, Yextra = 10.886, Igx = 1.95"
"x= 2, f(x) = 6.4, t(x) = 9.56257, Yintra = 1.61871, Yextra = 11.1813, Igx = 2.05"
"x= 2.1, f(x) = 6.636, t(x) = 9.65266, Yintra = 1.80967, Yextra = 11.4623, Igx = 2.15"
"x= 2.2, f(x) = 6.864, t(x) = 9.73105, Yintra = 1.99848, Yextra = 11.7295, Igx = 2.25"
"x= 2.3, f(x) = 7.084, t(x) = 9.79836, Yintra = 2.18482, Yextra = 11.9832, Igx = 2.35"
"x= 2.4, f(x) = 7.296, t(x) = 9.8552, Yintra = 2.3684, Yextra = 12.2236, Igx = 2.45"
"x= 2.5, f(x) = 7.5, t(x) = 9.90207, Yintra = 2.54896, Yextra = 12.451, Igx = 2.55"
"x= 2.6, f(x) = 7.696, t(x) = 9.93948, Yintra = 2.72626, Yextra = 12.6657, Igx = 2.65"
"x= 2.7, f(x) = 7.884, t(x) = 9.96786, Yintra = 2.90007, Yextra = 12.8679, Igx = 2.75"
"x= 2.8, f(x) = 8.064, t(x) = 9.98763, Yintra = 3.07018, Yextra = 13.0578, Igx = 2.85"
"x= 2.9, f(x) = 8.236, t(x) = 9.99919, Yintra = 3.23641, Yextra = 13.2356, Igx = 2.95"
"x= 3, f(x) = 8.4, t(x) = 10.0029, Yintra = 3.39856, Yextra = 13.4014, Igx = 3.05"
"x= 3.1, f(x) = 8.556, t(x) = 9.99904, Yintra = 3.55648, Yextra = 13.5555, Igx = 3.15"
"x= 3.2, f(x) = 8.704, t(x) = 9.98798, Yintra = 3.71001, Yextra = 13.698, Igx = 3.25"
"x= 3.3, f(x) = 8.844, t(x) = 9.97, Yintra = 3.859, Yextra = 13.829, Igx = 3.35"
"x= 3.4, f(x) = 8.976, t(x) = 9.94537, Yintra = 4.00331, Yextra = 13.9487, Igx = 3.45"
"x= 3.5, f(x) = 9.1, t(x) = 9.91436, Yintra = 4.14282, Yextra = 14.0572, Igx = 3.55"
"x= 3.6, f(x) = 9.216, t(x) = 9.87721, Yintra = 4.27739, Yextra = 14.1546, Igx = 3.65"
"x= 3.7, f(x) = 9.324, t(x) = 9.83416, Yintra = 4.40692, Yextra = 14.2411, Igx = 3.75"
"x= 3.8, f(x) = 9.424, t(x) = 9.78541, Yintra = 4.53129, Yextra = 14.3167, Igx = 3.85"
"x= 3.9, f(x) = 9.516, t(x) = 9.73119, Yintra = 4.65041, Yextra = 14.3816, Igx = 3.95"
