"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0"
"x= 2, f(x) = 0.304, t(x) = 1.65885, Yintra = -0.525427, Yextra = 1.13343, Igx = 0.760804"
"x= 4, f(x) = 0.576, t(x) = 2.18529, Yintra = -0.516646, Yextra = 1.66865, Igx = 1.73931"
"x= 6, f(x) = 0.816, t(x) = 2.49441, Yintra = -0.431204, Yextra = 2.0632, Igx = 2.58673"
"x= 8, f(x) = 1.024, t(x) = 2.67752, Yintra = -0.31476, Yextra = 2.36276, Igx = 3.19924"
"x= 10, f(x) = 1.2, t(x) = 2.77258, Yintra = -0.18629, Yextra = 2.58629, Igx = 3.55223"
"x= 12, f(x) = 1.344, t(x) = 2.80081, Yintra = -0.0564029, Yextra = 2.7444, Igx = 3.66183"
"x= 14, f(x) = 1.456, t(x) = 2.77602, Yintra = 0.0679891, Yextra = 2.84401, Igx = 3.56547"
"x= 16, f(x) = 1.536, t(x) = 2.70807, Yintra = 0.181964, Yextra = 2.89004, Igx = 3.31001"
"x= 18, f(x) = 1.584, t(x) = 2.60434, Yintra = 0.281828, Yextra = 2.88617, Igx = 2.94404"
"x= 20, f(x) = 1.6, t(x) = 2.47055, Yintra = 0.364727, Yextra = 2.83527, Igx = 2.5132"
"x= 22, f(x) = 1.584, t(x) = 2.31113, Yintra = 0.428434, Yextra = 2.73957, Igx = 2.05742"
"x= 24, f(x) = 1.536, t(x) = 2.12957, Yintra = 0.471214, Yextra = 2.60079, Igx = 1.60963"
"x= 26, f(x) = 1.456, t(x) = 1.9285, Yintra = 0.491751, Yextra = 2.42025, Igx = 1.19538"
"x= 28, f(x) = 1.344, t(x) = 1.70982, Yintra = 0.489088, Yextra = 2.19891, Igx = 0.83311"
"x= 30, f(x) = 1.2, t(x) = 1.47481, Yintra = 0.462595, Yextra = 1.9374, Igx = 0.534634"
"x= 32, f(x) = 1.024, t(x) = 1.22412, Yintra = 0.411939, Yextra = 1.63606, Igx = 0.305719"
"x= 34, f(x) = 0.816, t(x) = 0.957863, Yintra = 0.337069, Yextra = 1.29493, Igx = 0.146473"
"x= 36, f(x) = 0.576, t(x) = 0.675601, Yintra = 0.238199, Yextra = 0.913801, Igx = 0.0513949"
"x= 38, f(x) = 0.304, t(x) = 0.376394, Yintra = 0.115803, Yextra = 0.492197, Igx = 0.00888746"
"x= 40, f(x) = 0, t(x) = 0.0588, Yintra = -0.0294, Yextra = 0.0294, Igx = 0.0000338829"
