"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.0454545"
"x= 0.0909091, f(x) = 0.359963, t(x) = 2.56781, Yintra = -0.923944, Yextra = 1.64387, Igx = 0.136364"
"x= 0.181818, f(x) = 0.71258, t(x) = 3.55616, Yintra = -1.0655, Yextra = 2.49066, Igx = 0.227273"
"x= 0.272727, f(x) = 1.05785, t(x) = 4.27954, Yintra = -1.08192, Yextra = 3.19762, Igx = 0.318182"
"x= 0.363636, f(x) = 1.39578, t(x) = 4.86295, Yintra = -1.0357, Yextra = 3.82725, Igx = 0.409091"
"x= 0.454545, f(x) = 1.72635, t(x) = 5.35489, Yintra = -0.951091, Yextra = 4.4038, Igx = 0.5"
"x= 0.545455, f(x) = 2.04959, t(x) = 5.78032, Yintra = -0.840575, Yextra = 4.93975, Igx = 0.590909"
"x= 0.636364, f(x) = 2.36547, t(x) = 6.15412, Yintra = -0.711588, Yextra = 5.44253, Igx = 0.681818"
"x= 0.727273, f(x) = 2.67401, t(x) = 6.48603, Yintra = -0.569002, Yextra = 5.91703, Igx = 0.772727"
"x= 0.818182, f(x) = 2.97521, t(x) = 6.78286, Yintra = -0.416221, Yextra = 6.36663, Igx = 0.863636"
"x= 0.909091, f(x) = 3.26905, t(x) = 7.04959, Yintra = -0.255741, Yextra = 6.79385, Igx = 0.954545"
"x= 1, f(x) = 3.55556, t(x) = 7.29004, Yintra = -0.0894643, Yextra = 7.20058, Igx = 1.04545"
"x= 1.09091, f(x) = 3.83471, t(x) = 7.50718, Yintra = 0.0811193, Yextra = 7.5883, Igx = 1.13636"
"x= 1.18182, f(x) = 4.10652, t(x) = 7.70342, Yintra = 0.254812, Yextra = 7.95823, Igx = 1.22727"
"x= 1.27273, f(x) = 4.37098, t(x) = 7.88071, Yintra = 0.43063, Yextra = 8.31134, Igx = 1.31818"
"x= 1.36364, f(x) = 4.6281, t(x) = 8.04069, Yintra = 0.607753, Yextra = 8.64845, Igx = 1.40909"
"x= 1.45455, f(x) = 4.87787, t(x) = 8.18476, Yintra = 0.785487, Yextra = 8.97025, Igx = 1.5"
"x= 1.54545, f(x) = 5.12029, t(x) = 8.31412, Yintra = 0.963236, Yextra = 9.27735, Igx = 1.59091"
"x= 1.63636, f(x) = 5.35537, t(x) = 8.42978, Yintra = 1.14048, Yextra = 9.57026, Igx = 1.68182"
"x= 1.72727, f(x) = 5.5831, t(x) = 8.53267, Yintra = 1.31677, Yextra = 9.84944, Igx = 1.77273"
