"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 4"
"x= 8, f(x) = 1.28, t(x) = 1.91251, Yintra = 0.323743, Yextra = 2.23626, Igx = 12"
"x= 16, f(x) = 1.92, t(x) = 1.93434, Yintra = 0.952832, Yextra = 2.88717, Igx = 20"
"x= 24, f(x) = 1.92, t(x) = 1.52112, Yintra = 1.15944, Yextra = 2.68056, Igx = 28"
"x= 32, f(x) = 1.28, t(x) = 0.874373, Yintra = 0.842814, Yextra = 1.71719, Igx = 36"
"x= 40, f(x) = 0, t(x) = 0.042, Yintra = -0.021, Yextra = 0.021, Igx = 44"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 4"
"x= 8, f(x) = 1.28, t(x) = 1.91251, Yintra = 0.323743, Yextra = 2.23626, Igx = 12"
"x= 16, f(x) = 1.92, t(x) = 1.93434, Yintra = 0.952832, Yextra = 2.88717, Igx = 20"
"x= 24, f(x) = 1.92, t(x) = 1.52112, Yintra = 1.15944, Yextra = 2.68056, Igx = 28"
"x= 32, f(x) = 1.28, t(x) = 0.874373, Yintra = 0.842814, Yextra = 1.71719, Igx = 36"
"x= 40, f(x) = 0, t(x) = 0.042, Yintra = -0.021, Yextra = 0.021, Igx = 44"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 10"
"x= 20, f(x) = 2, t(x) = 1.76468, Yintra = 1.11766, Yextra = 2.88234, Igx = 30"
"x= 40, f(x) = 0, t(x) = 0.042, Yintra = -0.021, Yextra = 0.021, Igx = 50"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 10"
"x= 20, f(x) = 2, t(x) = 1.76468, Yintra = 1.11766, Yextra = 2.88234, Igx = 30"
"x= 40, f(x) = 0, t(x) = 0.042, Yintra = -0.021, Yextra = 0.021, Igx = 50"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 10"
"x= 20, f(x) = 2, t(x) = 1.76468, Yintra = 1.11766, Yextra = 2.88234, Igx = 30"
"x= 40, f(x) = 0, t(x) = 0.042, Yintra = -0.021, Yextra = 0.021, Igx = 50"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 10"
"x= 20, f(x) = 2, t(x) = 1.76468, Yintra = 1.11766, Yextra = 2.88234, Igx = 30"
"x= 40, f(x) = 0, t(x) = 0.042, Yintra = -0.021, Yextra = 0.021, Igx = 50"
