"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 1, f(x) = 3.2, t(x) = 4.78129, Yintra = 0.809357, Yextra = 5.59064, Igx = 1.5"
"x= 2, f(x) = 4.8, t(x) = 4.83584, Yintra = 2.38208, Yextra = 7.21792, Igx = 2.5"
"x= 3, f(x) = 4.8, t(x) = 3.80281, Yintra = 2.8986, Yextra = 6.7014, Igx = 3.5"
"x= 4, f(x) = 3.2, t(x) = 2.18593, Yintra = 2.10703, Yextra = 4.29297, Igx = 4.5"
"x= 5, f(x) = 0, t(x) = 0.105, Yintra = -0.0525, Yextra = 0.0525, Igx = 5.5"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 1, f(x) = 3.2, t(x) = 4.78129, Yintra = 0.809357, Yextra = 5.59064, Igx = 1.5"
"x= 2, f(x) = 4.8, t(x) = 4.83584, Yintra = 2.38208, Yextra = 7.21792, Igx = 2.5"
"x= 3, f(x) = 4.8, t(x) = 3.80281, Yintra = 2.8986, Yextra = 6.7014, Igx = 3.5"
"x= 4, f(x) = 3.2, t(x) = 2.18593, Yintra = 2.10703, Yextra = 4.29297, Igx = 4.5"
"x= 5, f(x) = 0, t(x) = 0.105, Yintra = -0.0525, Yextra = 0.0525, Igx = 5.5"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 1, f(x) = 3.2, t(x) = 4.78129, Yintra = 0.809357, Yextra = 5.59064, Igx = 1.5"
"x= 2, f(x) = 4.8, t(x) = 4.83584, Yintra = 2.38208, Yextra = 7.21792, Igx = 2.5"
"x= 3, f(x) = 4.8, t(x) = 3.80281, Yintra = 2.8986, Yextra = 6.7014, Igx = 3.5"
"x= 4, f(x) = 3.2, t(x) = 2.18593, Yintra = 2.10703, Yextra = 4.29297, Igx = 4.5"
"x= 5, f(x) = 0, t(x) = 0.105, Yintra = -0.0525, Yextra = 0.0525, Igx = 5.5"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 1, f(x) = 3.2, t(x) = 4.78129, Yintra = 0.809357, Yextra = 5.59064, Igx = 1.5"
"x= 2, f(x) = 4.8, t(x) = 4.83584, Yintra = 2.38208, Yextra = 7.21792, Igx = 2.5"
"x= 3, f(x) = 4.8, t(x) = 3.80281, Yintra = 2.8986, Yextra = 6.7014, Igx = 3.5"
"x= 4, f(x) = 3.2, t(x) = 2.18593, Yintra = 2.10703, Yextra = 4.29297, Igx = 4.5"
"x= 5, f(x) = 0, t(x) = 0.105, Yintra = -0.0525, Yextra = 0.0525, Igx = 5.5"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 1, f(x) = 3.2, t(x) = 4.78129, Yintra = 0.809357, Yextra = 5.59064, Igx = 1.5"
"x= 2, f(x) = 4.8, t(x) = 4.83584, Yintra = 2.38208, Yextra = 7.21792, Igx = 2.5"
"x= 3, f(x) = 4.8, t(x) = 3.80281, Yintra = 2.8986, Yextra = 6.7014, Igx = 3.5"
"x= 4, f(x) = 3.2, t(x) = 2.18593, Yintra = 2.10703, Yextra = 4.29297, Igx = 4.5"
"x= 5, f(x) = 0, t(x) = 0.105, Yintra = -0.0525, Yextra = 0.0525, Igx = 5.5"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 1, f(x) = 3.2, t(x) = 4.78129, Yintra = 0.809357, Yextra = 5.59064, Igx = 1.5"
"x= 2, f(x) = 4.8, t(x) = 4.83584, Yintra = 2.38208, Yextra = 7.21792, Igx = 2.5"
"x= 3, f(x) = 4.8, t(x) = 3.80281, Yintra = 2.8986, Yextra = 6.7014, Igx = 3.5"
"x= 4, f(x) = 3.2, t(x) = 2.18593, Yintra = 2.10703, Yextra = 4.29297, Igx = 4.5"
"x= 5, f(x) = 0, t(x) = 0.105, Yintra = -0.0525, Yextra = 0.0525, Igx = 5.5"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 1, f(x) = 3.2, t(x) = 4.78129, Yintra = 0.809357, Yextra = 5.59064, Igx = 1.5"
"x= 2, f(x) = 4.8, t(x) = 4.83584, Yintra = 2.38208, Yextra = 7.21792, Igx = 2.5"
"x= 3, f(x) = 4.8, t(x) = 3.80281, Yintra = 2.8986, Yextra = 6.7014, Igx = 3.5"
"x= 4, f(x) = 3.2, t(x) = 2.18593, Yintra = 2.10703, Yextra = 4.29297, Igx = 4.5"
"x= 5, f(x) = 0, t(x) = 0.105, Yintra = -0.0525, Yextra = 0.0525, Igx = 5.5"
