"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.125"
"x= 0.25, f(x) = 0.199, t(x) = 2.03552, Yintra = -0.818762, Yextra = 1.21676, Igx = 0.375"
"x= 0.5, f(x) = 0.396, t(x) = 2.83951, Yintra = -1.02376, Yextra = 1.81576, Igx = 0.625"
"x= 0.75, f(x) = 0.591, t(x) = 3.43945, Yintra = -1.12873, Yextra = 2.31073, Igx = 0.875"
"x= 1, f(x) = 0.784, t(x) = 3.93296, Yintra = -1.18248, Yextra = 2.75048, Igx = 1.125"
"x= 1.25, f(x) = 0.975, t(x) = 4.35787, Yintra = -1.20393, Yextra = 3.15393, Igx = 1.375"
"x= 1.5, f(x) = 1.164, t(x) = 4.73357, Yintra = -1.20279, Yextra = 3.53079, Igx = 1.625"
"x= 1.75, f(x) = 1.351, t(x) = 5.07162, Yintra = -1.18481, Yextra = 3.88681, Igx = 1.875"
"x= 2, f(x) = 1.536, t(x) = 5.37954, Yintra = -1.15377, Yextra = 4.22577, Igx = 2.125"
"x= 2.25, f(x) = 1.719, t(x) = 5.66255, Yintra = -1.11228, Yextra = 4.55027, Igx = 2.375"
"x= 2.5, f(x) = 1.9, t(x) = 5.92448, Yintra = -1.06224, Yextra = 4.86224, Igx = 2.625"
"x= 2.75, f(x) = 2.079, t(x) = 6.1682, Yintra = -1.0051, Yextra = 5.1631, Igx = 2.875"
"x= 3, f(x) = 2.256, t(x) = 6.39597, Yintra = -0.941984, Yextra = 5.45398, Igx = 3.125"
"x= 3.25, f(x) = 2.431, t(x) = 6.60957, Yintra = -0.873785, Yextra = 5.73579, Igx = 3.375"
"x= 3.5, f(x) = 2.604, t(x) = 6.81046, Yintra = -0.80123, Yextra = 6.00923, Igx = 3.625"
"x= 3.75, f(x) = 2.775, t(x) = 6.99984, Yintra = -0.72492, Yextra = 6.27492, Igx = 3.875"
"x= 4, f(x) = 2.944, t(x) = 7.17872, Yintra = -0.645358, Yextra = 6.53336, Igx = 4.125"
"x= 4.25, f(x) = 3.111, t(x) = 7.34795, Yintra = -0.562973, Yextra = 6.78497, Igx = 4.375"
"x= 4.5, f(x) = 3.276, t(x) = 7.50826, Yintra = -0.478132, Yextra = 7.03013, Igx = 4.625"
"x= 4.75, f(x) = 3.439, t(x) = 7.6603, Yintra = -0.391151, Yextra = 7.26915, Igx = 4.875"
"x= 5, f(x) = 3.6, t(x) = 7.80462, Yintra = -0.302309, Yextra = 7.50231, Igx = 5.125"
"x= 5.25, f(x) = 3.759, t(x) = 7.9417, Yintra = -0.211849, Yextra = 7.72985, Igx = 5.375"
"x= 5.5, f(x) = 3.916, t(x) = 8.07198, Yintra = -0.119989, Yextra = 7.95199, Igx = 5.625"
"x= 5.75, f(x) = 4.071, t(x) = 8.19584, Yintra = -0.0269205, Yextra = 8.16892, Igx = 5.875"
"x= 6, f(x) = 4.224, t(x) = 8.31364, Yintra = 0.067182, Yextra = 8.38082, Igx = 6.125"
"x= 6.25, f(x) = 4.375, t(x) = 8.42567, Yintra = 0.162163, Yextra = 8.58784, Igx = 6.375"
"x= 6.5, f(x) = 4.524, t(x) = 8.53224, Yintra = 0.25788, Yextra = 8.79012, Igx = 6.625"
"x= 6.75, f(x) = 4.671, t(x) = 8.63359, Yintra = 0.354206, Yextra = 8.98779, Igx = 6.875"
"x= 7, f(x) = 4.816, t(x) = 8.72996, Yintra = 0.451021, Yextra = 9.18098, Igx = 7.125"
"x= 7.25, f(x) = 4.959, t(x) = 8.82156, Yintra = 0.548219, Yextra = 9.36978, Igx = 7.375"
"x= 7.5, f(x) = 5.1, t(x) = 8.9086, Yintra = 0.6457, Yextra = 9.5543, Igx = 7.625"
"x= 7.75, f(x) = 5.239, t(x) = 8.99126, Yintra = 0.743372, Yextra = 9.73463, Igx = 7.875"
"x= 8, f(x) = 5.376, t(x) = 9.0697, Yintra = 0.841149, Yextra = 9.91085, Igx = 8.125"
"x= 8.25, f(x) = 5.511, t(x) = 9.14409, Yintra = 0.938954, Yextra = 10.083, Igx = 8.375"
"x= 8.5, f(x) = 5.644, t(x) = 9.21458, Yintra = 1.03671, Yextra = 10.2513, Igx = 8.625"
"x= 8.75, f(x) = 5.775, t(x) = 9.28129, Yintra = 1.13435, Yextra = 10.4156, Igx = 8.875"
"x= 9, f(x) = 5.904, t(x) = 9.34437, Yintra = 1.23182, Yextra = 10.5762, Igx = 9.125"
"x= 9.25, f(x) = 6.031, t(x) = 9.40392, Yintra = 1.32904, Yextra = 10.733, Igx = 9.375"
"x= 9.5, f(x) = 6.156, t(x) = 9.46007, Yintra = 1.42597, Yextra = 10.886, Igx = 9.625"
"x= 9.75, f(x) = 6.279, t(x) = 9.51292, Yintra = 1.52254, Yextra = 11.0355, Igx = 9.875"
"x= 10, f(x) = 6.4, t(x) = 9.56257, Yintra = 1.61871, Yextra = 11.1813, Igx = 10.125"
"x= 10.25, f(x) = 6.519, t(x) = 9.60912, Yintra = 1.71444, Yextra = 11.3236, Igx = 10.375"
"x= 10.5, f(x) = 6.636, t(x) = 9.65266, Yintra = 1.80967, Yextra = 11.4623, Igx = 10.625"
"x= 10.75, f(x) = 6.751, t(x) = 9.69328, Yintra = 1.90436, Yextra = 11.5976, Igx = 10.875"
"x= 11, f(x) = 6.864, t(x) = 9.73105, Yintra = 1.99848, Yextra = 11.7295, Igx = 11.125"
"x= 11.25, f(x) = 6.975, t(x) = 9.76605, Yintra = 2.09197, Yextra = 11.858, Igx = 11.375"
"x= 11.5, f(x) = 7.084, t(x) = 9.79836, Yintra = 2.18482, Yextra = 11.9832, Igx = 11.625"
"x= 11.75, f(x) = 7.191, t(x) = 9.82806, Yintra = 2.27697, Yextra = 12.105, Igx = 11.875"
"x= 12, f(x) = 7.296, t(x) = 9.8552, Yintra = 2.3684, Yextra = 12.2236, Igx = 12.125"
"x= 12.25, f(x) = 7.399, t(x) = 9.87985, Yintra = 2.45908, Yextra = 12.3389, Igx = 12.375"
"x= 12.5, f(x) = 7.5, t(x) = 9.90207, Yintra = 2.54896, Yextra = 12.451, Igx = 12.625"
"x= 12.75, f(x) = 7.599, t(x) = 9.92193, Yintra = 2.63804, Yextra = 12.56, Igx = 12.875"
"x= 13, f(x) = 7.696, t(x) = 9.93948, Yintra = 2.72626, Yextra = 12.6657, Igx = 13.125"
"x= 13.25, f(x) = 7.791, t(x) = 9.95477, Yintra = 2.81362, Yextra = 12.7684, Igx = 13.375"
"x= 13.5, f(x) = 7.884, t(x) = 9.96786, Yintra = 2.90007, Yextra = 12.8679, Igx = 13.625"
"x= 13.75, f(x) = 7.975, t(x) = 9.9788, Yintra = 2.9856, Yextra = 12.9644, Igx = 13.875"
"x= 14, f(x) = 8.064, t(x) = 9.98763, Yintra = 3.07018, Yextra = 13.0578, Igx = 14.125"
"x= 14.25, f(x) = 8.151, t(x) = 9.99442, Yintra = 3.15379, Yextra = 13.1482, Igx = 14.375"
"x= 14.5, f(x) = 8.236, t(x) = 9.99919, Yintra = 3.23641, Yextra = 13.2356, Igx = 14.625"
"x= 14.75, f(x) = 8.319, t(x) = 10.002, Yintra = 3.318, Yextra = 13.32, Igx = 14.875"
"x= 15, f(x) = 8.4, t(x) = 10.0029, Yintra = 3.39856, Yextra = 13.4014, Igx = 15.125"
"x= 15.25, f(x) = 8.479, t(x) = 10.0019, Yintra = 3.47806, Yextra = 13.4799, Igx = 15.375"
"x= 15.5, f(x) = 8.556, t(x) = 9.99904, Yintra = 3.55648, Yextra = 13.5555, Igx = 15.625"
