"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.445"
"x= 0.89, f(x) = 0.2376, t(x) = 1.70371, Yintra = -0.614254, Yextra = 1.08945, Igx = 1.335"
"x= 1.78, f(x) = 0.4704, t(x) = 2.35978, Yintra = -0.709489, Yextra = 1.65029, Igx = 2.225"
"x= 2.67, f(x) = 0.6984, t(x) = 2.84014, Yintra = -0.721672, Yextra = 2.11847, Igx = 3.115"
"x= 3.56, f(x) = 0.9216, t(x) = 3.22772, Yintra = -0.692261, Yextra = 2.53546, Igx = 4.005"
"x= 4.45, f(x) = 1.14, t(x) = 3.55469, Yintra = -0.637343, Yextra = 2.91734, Igx = 4.895"
"x= 5.34, f(x) = 1.3536, t(x) = 3.83758, Yintra = -0.56519, Yextra = 3.27239, Igx = 5.785"
"x= 6.23, f(x) = 1.5624, t(x) = 4.08628, Yintra = -0.480738, Yextra = 3.60554, Igx = 6.675"
"x= 7.12, f(x) = 1.7664, t(x) = 4.30723, Yintra = -0.387215, Yextra = 3.92001, Igx = 7.565"
"x= 8.01, f(x) = 1.9656, t(x) = 4.50496, Yintra = -0.286879, Yextra = 4.21808, Igx = 8.455"
"x= 8.9, f(x) = 2.16, t(x) = 4.68277, Yintra = -0.181385, Yextra = 4.50139, Igx = 9.345"
"x= 9.79, f(x) = 2.3496, t(x) = 4.84319, Yintra = -0.0719932, Yextra = 4.77119, Igx = 10.235"
"x= 10.68, f(x) = 2.5344, t(x) = 4.98818, Yintra = 0.0403092, Yextra = 5.02849, Igx = 11.125"
"x= 11.57, f(x) = 2.7144, t(x) = 5.11934, Yintra = 0.154728, Yextra = 5.27407, Igx = 12.015"
"x= 12.46, f(x) = 2.8896, t(x) = 5.23797, Yintra = 0.270613, Yextra = 5.50859, Igx = 12.905"
"x= 13.35, f(x) = 3.06, t(x) = 5.34516, Yintra = 0.38742, Yextra = 5.73258, Igx = 13.795"
"x= 14.24, f(x) = 3.2256, t(x) = 5.44182, Yintra = 0.50469, Yextra = 5.94651, Igx = 14.685"
"x= 15.13, f(x) = 3.3864, t(x) = 5.52875, Yintra = 0.622027, Yextra = 6.15077, Igx = 15.575"
"x= 16.02, f(x) = 3.5424, t(x) = 5.60662, Yintra = 0.739091, Yextra = 6.34571, Igx = 16.465"
"x= 16.91, f(x) = 3.6936, t(x) = 5.67604, Yintra = 0.855579, Yextra = 6.53162, Igx = 17.355"
"x= 17.8, f(x) = 3.84, t(x) = 5.73754, Yintra = 0.971228, Yextra = 6.70877, Igx = 18.245"
"x= 18.69, f(x) = 3.9816, t(x) = 5.7916, Yintra = 1.0858, Yextra = 6.8774, Igx = 19.135"
"x= 19.58, f(x) = 4.1184, t(x) = 5.83863, Yintra = 1.19909, Yextra = 7.03771, Igx = 20.025"
"x= 20.47, f(x) = 4.2504, t(x) = 5.87902, Yintra = 1.31089, Yextra = 7.18991, Igx = 20.915"
"x= 21.36, f(x) = 4.3776, t(x) = 5.91312, Yintra = 1.42104, Yextra = 7.33416, Igx = 21.805"
"x= 22.25, f(x) = 4.5, t(x) = 5.94124, Yintra = 1.52938, Yextra = 7.47062, Igx = 22.695"
"x= 23.14, f(x) = 4.6176, t(x) = 5.96369, Yintra = 1.63576, Yextra = 7.59944, Igx = 23.585"
"x= 24.03, f(x) = 4.7304, t(x) = 5.98072, Yintra = 1.74004, Yextra = 7.72076, Igx = 24.475"
"x= 24.92, f(x) = 4.8384, t(x) = 5.99258, Yintra = 1.84211, Yextra = 7.83469, Igx = 25.365"
"x= 25.81, f(x) = 4.9416, t(x) = 5.99951, Yintra = 1.94184, Yextra = 7.94136, Igx = 26.255"
"x= 26.7, f(x) = 5.04, t(x) = 6.00173, Yintra = 2.03914, Yextra = 8.04086, Igx = 27.145"
"x= 27.59, f(x) = 5.1336, t(x) = 5.99942, Yintra = 2.13389, Yextra = 8.13331, Igx = 28.035"
"x= 28.48, f(x) = 5.2224, t(x) = 5.99279, Yintra = 2.22601, Yextra = 8.21879, Igx = 28.925"
"x= 29.37, f(x) = 5.3064, t(x) = 5.982, Yintra = 2.3154, Yextra = 8.2974, Igx = 29.815"
"x= 30.26, f(x) = 5.3856, t(x) = 5.96723, Yintra = 2.40199, Yextra = 8.36921, Igx = 30.705"
"x= 31.15, f(x) = 5.46, t(x) = 5.94862, Yintra = 2.48569, Yextra = 8.43431, Igx = 31.595"
"x= 32.04, f(x) = 5.5296, t(x) = 5.92633, Yintra = 2.56644, Yextra = 8.49276, Igx = 32.485"
"x= 32.93, f(x) = 5.5944, t(x) = 5.90049, Yintra = 2.64415, Yextra = 8.54465, Igx = 33.375"
"x= 33.82, f(x) = 5.6544, t(x) = 5.87125, Yintra = 2.71878, Yextra = 8.59002, Igx = 34.265"
"x= 34.71, f(x) = 5.7096, t(x) = 5.83871, Yintra = 2.79024, Yextra = 8.62896, Igx = 35.155"
"x= 35.6, f(x) = 5.76, t(x) = 5.80301, Yintra = 2.85849, Yextra = 8.66151, Igx = 36.045"
"x= 36.49, f(x) = 5.8056, t(x) = 5.76425, Yintra = 2.92347, Yextra = 8.68773, Igx = 36.935"
"x= 37.38, f(x) = 5.8464, t(x) = 5.72255, Yintra = 2.98513, Yextra = 8.70767, Igx = 37.825"
