"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0"
"x= 1.25, f(x) = 0.24375, t(x) = 1.08947, Yintra = -0.300983, Yextra = 0.788483, Igx = 0.00150856"
"x= 2.5, f(x) = 0.475, t(x) = 1.48112, Yintra = -0.26556, Yextra = 1.21556, Igx = 0.0111637"
"x= 3.75, f(x) = 0.69375, t(x) = 1.74996, Yintra = -0.18123, Yextra = 1.56873, Igx = 0.0347807"
"x= 5, f(x) = 0.9, t(x) = 1.95115, Yintra = -0.0755772, Yextra = 1.87558, Igx = 0.0759375"
"x= 6.25, f(x) = 1.09375, t(x) = 2.10642, Yintra = 0.0405407, Yextra = 2.14696, Igx = 0.136296"
"x= 7.5, f(x) = 1.275, t(x) = 2.22715, Yintra = 0.161425, Yextra = 2.38858, Igx = 0.215903"
"x= 8.75, f(x) = 1.44375, t(x) = 2.32032, Yintra = 0.283589, Yextra = 2.60391, Igx = 0.313476"
"x= 10, f(x) = 1.6, t(x) = 2.39064, Yintra = 0.404679, Yextra = 2.79532, Igx = 0.426667"
"x= 11.25, f(x) = 1.74375, t(x) = 2.44151, Yintra = 0.522994, Yextra = 2.96451, Igx = 0.552308"
"x= 12.5, f(x) = 1.875, t(x) = 2.47552, Yintra = 0.637241, Yextra = 3.11276, Igx = 0.686646"
"x= 13.75, f(x) = 1.99375, t(x) = 2.4947, Yintra = 0.7464, Yextra = 3.2411, Igx = 0.825545"
"x= 15, f(x) = 2.1, t(x) = 2.50072, Yintra = 0.84964, Yextra = 3.35036, Igx = 0.964688"
"x= 16.25, f(x) = 2.19375, t(x) = 2.49496, Yintra = 0.94627, Yextra = 3.44123, Igx = 1.09974"
"x= 17.5, f(x) = 2.275, t(x) = 2.47859, Yintra = 1.0357, Yextra = 3.5143, Igx = 1.22652"
"x= 18.75, f(x) = 2.34375, t(x) = 2.45262, Yintra = 1.11744, Yextra = 3.57006, Igx = 1.3411"
"x= 20, f(x) = 2.4, t(x) = 2.41792, Yintra = 1.19104, Yextra = 3.60896, Igx = 1.44"
"x= 21.25, f(x) = 2.44375, t(x) = 2.37526, Yintra = 1.25612, Yextra = 3.63138, Igx = 1.52019"
"x= 22.5, f(x) = 2.475, t(x) = 2.32531, Yintra = 1.31235, Yextra = 3.63765, Igx = 1.57926"
"x= 23.75, f(x) = 2.49375, t(x) = 2.26866, Yintra = 1.35942, Yextra = 3.62808, Igx = 1.61543"
"x= 25, f(x) = 2.5, t(x) = 2.20584, Yintra = 1.39708, Yextra = 3.60292, Igx = 1.6276"
"x= 26.25, f(x) = 2.49375, t(x) = 2.13732, Yintra = 1.42509, Yextra = 3.56241, Igx = 1.61543"
"x= 27.5, f(x) = 2.475, t(x) = 2.06351, Yintra = 1.44324, Yextra = 3.50676, Igx = 1.57926"
"x= 28.75, f(x) = 2.44375, t(x) = 1.98477, Yintra = 1.45137, Yextra = 3.43613, Igx = 1.52019"
"x= 30, f(x) = 2.4, t(x) = 1.9014, Yintra = 1.4493, Yextra = 3.3507, Igx = 1.44"
"x= 31.25, f(x) = 2.34375, t(x) = 1.8137, Yintra = 1.4369, Yextra = 3.2506, Igx = 1.3411"
"x= 32.5, f(x) = 2.275, t(x) = 1.72187, Yintra = 1.41406, Yextra = 3.13594, Igx = 1.22652"
"x= 33.75, f(x) = 2.19375, t(x) = 1.62613, Yintra = 1.38068, Yextra = 3.00682, Igx = 1.09974"
"x= 35, f(x) = 2.1, t(x) = 1.52663, Yintra = 1.33669, Yextra = 2.86331, Igx = 0.964688"
"x= 36.25, f(x) = 1.99375, t(x) = 1.42349, Yintra = 1.28201, Yextra = 2.70549, Igx = 0.825545"
"x= 37.5, f(x) = 1.875, t(x) = 1.31679, Yintra = 1.2166, Yextra = 2.5334, Igx = 0.686646"
"x= 38.75, f(x) = 1.74375, t(x) = 1.20661, Yintra = 1.14044, Yextra = 2.34706, Igx = 0.552308"
"x= 40, f(x) = 1.6, t(x) = 1.09297, Yintra = 1.05352, Yextra = 2.14648, Igx = 0.426667"
"x= 41.25, f(x) = 1.44375, t(x) = 0.975851, Yintra = 0.955824, Yextra = 1.93168, Igx = 0.313476"
"x= 42.5, f(x) = 1.275, t(x) = 0.855234, Yintra = 0.847383, Yextra = 1.70262, Igx = 0.215903"
"x= 43.75, f(x) = 1.09375, t(x) = 0.731053, Yintra = 0.728224, Yextra = 1.45928, Igx = 0.136296"
"x= 45, f(x) = 0.9, t(x) = 0.603216, Yintra = 0.598392, Yextra = 1.20161, Igx = 0.0759375"
"x= 46.25, f(x) = 0.69375, t(x) = 0.471602, Yintra = 0.457949, Yextra = 0.929551, Igx = 0.0347807"
"x= 47.5, f(x) = 0.475, t(x) = 0.336066, Yintra = 0.306967, Yextra = 0.643033, Igx = 0.0111637"
"x= 48.75, f(x) = 0.24375, t(x) = 0.196433, Yintra = 0.145534, Yextra = 0.341966, Igx = 0.00150856"
"x= 50, f(x) = -0, t(x) = 0.0525, Yintra = -0.02625, Yextra = 0.02625, Igx = -0"
