"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.4"
"x= 0.8, f(x) = 3.7632, t(x) = 4.71955, Yintra = 1.40342, Yextra = 6.12298, Igx = 1.2"
"x= 1.6, f(x) = 7.3728, t(x) = 6.45544, Yintra = 4.14508, Yextra = 10.6005, Igx = 2"
"x= 2.4, f(x) = 10.8288, t(x) = 7.67516, Yintra = 6.99122, Yextra = 14.6664, Igx = 2.8"
"x= 3.2, f(x) = 14.1312, t(x) = 8.61446, Yintra = 9.82397, Yextra = 18.4384, Igx = 3.6"
"x= 4, f(x) = 17.28, t(x) = 9.36554, Yintra = 12.5972, Yextra = 21.9628, Igx = 4.4"
"x= 4.8, f(x) = 20.2752, t(x) = 9.97636, Yintra = 15.287, Yextra = 25.2634, Igx = 5.2"
"x= 5.6, f(x) = 23.1168, t(x) = 10.4759, Yintra = 17.8788, Yextra = 28.3548, Igx = 6"
"x= 6.4, f(x) = 25.8048, t(x) = 10.8836, Yintra = 20.363, Yextra = 31.2466, Igx = 6.8"
"x= 7.2, f(x) = 28.3392, t(x) = 11.2132, Yintra = 22.7326, Yextra = 33.9458, Igx = 7.6"
"x= 8, f(x) = 30.72, t(x) = 11.4751, Yintra = 24.9825, Yextra = 36.4575, Igx = 8.4"
"x= 8.8, f(x) = 32.9472, t(x) = 11.6773, Yintra = 27.1086, Yextra = 38.7858, Igx = 9.2"
"x= 9.6, f(x) = 35.0208, t(x) = 11.8262, Yintra = 29.1077, Yextra = 40.9339, Igx = 10"
"x= 10.4, f(x) = 36.9408, t(x) = 11.9274, Yintra = 30.9771, Yextra = 42.9045, Igx = 10.8"
"x= 11.2, f(x) = 38.7072, t(x) = 11.9852, Yintra = 32.7146, Yextra = 44.6998, Igx = 11.6"
"x= 12, f(x) = 40.32, t(x) = 12.0035, Yintra = 34.3183, Yextra = 46.3217, Igx = 12.4"
"x= 12.8, f(x) = 41.7792, t(x) = 11.9856, Yintra = 35.7864, Yextra = 47.772, Igx = 13.2"
"x= 13.6, f(x) = 43.0848, t(x) = 11.9345, Yintra = 37.1176, Yextra = 49.052, Igx = 14"
"x= 14.4, f(x) = 44.2368, t(x) = 11.8527, Yintra = 38.3105, Yextra = 50.1631, Igx = 14.8"
"x= 15.2, f(x) = 45.2352, t(x) = 11.7425, Yintra = 39.364, Yextra = 51.1064, Igx = 15.6"
"x= 16, f(x) = 46.08, t(x) = 11.606, Yintra = 40.277, Yextra = 51.883, Igx = 16.4"
"x= 16.8, f(x) = 46.7712, t(x) = 11.4451, Yintra = 41.0487, Yextra = 52.4937, Igx = 17.2"
"x= 17.6, f(x) = 47.3088, t(x) = 11.2614, Yintra = 41.6781, Yextra = 52.9395, Igx = 18"
"x= 18.4, f(x) = 47.6928, t(x) = 11.0564, Yintra = 42.1646, Yextra = 53.221, Igx = 18.8"
"x= 19.2, f(x) = 47.9232, t(x) = 10.8316, Yintra = 42.5074, Yextra = 53.339, Igx = 19.6"
"x= 20, f(x) = 48, t(x) = 10.5881, Yintra = 42.706, Yextra = 53.294, Igx = 20.4"
"x= 20.8, f(x) = 47.9232, t(x) = 10.327, Yintra = 42.7597, Yextra = 53.0867, Igx = 21.2"
"x= 21.6, f(x) = 47.6928, t(x) = 10.0495, Yintra = 42.668, Yextra = 52.7176, Igx = 22"
"x= 22.4, f(x) = 47.3088, t(x) = 9.75642, Yintra = 42.4306, Yextra = 52.187, Igx = 22.8"
"x= 23.2, f(x) = 46.7712, t(x) = 9.44858, Yintra = 42.0469, Yextra = 51.4955, Igx = 23.6"
"x= 24, f(x) = 46.08, t(x) = 9.12674, Yintra = 41.5166, Yextra = 50.6434, Igx = 24.4"
"x= 24.8, f(x) = 45.2352, t(x) = 8.79155, Yintra = 40.8394, Yextra = 49.631, Igx = 25.2"
"x= 25.6, f(x) = 44.2368, t(x) = 8.4436, Yintra = 40.015, Yextra = 48.4586, Igx = 26"
"x= 26.4, f(x) = 43.0848, t(x) = 8.08338, Yintra = 39.0431, Yextra = 47.1265, Igx = 26.8"
"x= 27.2, f(x) = 41.7792, t(x) = 7.71133, Yintra = 37.9235, Yextra = 45.6349, Igx = 27.6"
"x= 28, f(x) = 40.32, t(x) = 7.32781, Yintra = 36.6561, Yextra = 43.9839, Igx = 28.4"
"x= 28.8, f(x) = 38.7072, t(x) = 6.93312, Yintra = 35.2406, Yextra = 42.1738, Igx = 29.2"
"x= 29.6, f(x) = 36.9408, t(x) = 6.52748, Yintra = 33.6771, Yextra = 40.2045, Igx = 30"
"x= 30.4, f(x) = 35.0208, t(x) = 6.11106, Yintra = 31.9653, Yextra = 38.0763, Igx = 30.8"
"x= 31.2, f(x) = 32.9472, t(x) = 5.68397, Yintra = 30.1052, Yextra = 35.7892, Igx = 31.6"
"x= 32, f(x) = 30.72, t(x) = 5.24624, Yintra = 28.0969, Yextra = 33.3431, Igx = 32.4"
"x= 32.8, f(x) = 28.3392, t(x) = 4.79785, Yintra = 25.9403, Yextra = 30.7381, Igx = 33.2"
"x= 33.6, f(x) = 25.8048, t(x) = 4.33874, Yintra = 23.6354, Yextra = 27.9742, Igx = 34"
"x= 34.4, f(x) = 23.1168, t(x) = 3.86877, Yintra = 21.1824, Yextra = 25.0512, Igx = 34.8"
"x= 35.2, f(x) = 20.2752, t(x) = 3.38775, Yintra = 18.5813, Yextra = 21.9691, Igx = 35.6"
"x= 36, f(x) = 17.28, t(x) = 2.89543, Yintra = 15.8323, Yextra = 18.7277, Igx = 36.4"
"x= 36.8, f(x) = 14.1312, t(x) = 2.39152, Yintra = 12.9354, Yextra = 15.327, Igx = 37.2"
"x= 37.6, f(x) = 10.8288, t(x) = 1.87566, Yintra = 9.89097, Yextra = 11.7666, Igx = 38"
"x= 38.4, f(x) = 7.3728, t(x) = 1.34743, Yintra = 6.69908, Yextra = 8.04652, Igx = 38.8"
"x= 39.2, f(x) = 3.7632, t(x) = 0.806386, Yintra = 3.36001, Yextra = 4.16639, Igx = 39.6"
"x= 40, f(x) = 0.0000000000000639488, t(x) = 0.252, Yintra = -0.126, Yextra = 0.126, Igx = 40.4"
