"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.333333"
"x= 0.666667, f(x) = 2.48889, t(x) = 6.67788, Yintra = -0.850052, Yextra = 5.82783, Igx = 1"
"x= 1.33333, f(x) = 4.62222, t(x) = 8.60037, Yintra = 0.322037, Yextra = 8.92241, Igx = 1.66667"
"x= 2, f(x) = 6.4, t(x) = 9.56257, Yintra = 1.61871, Yextra = 11.1813, Igx = 2.33333"
"x= 2.66667, f(x) = 7.82222, t(x) = 9.95937, Yintra = 2.84254, Yextra = 12.8019, Igx = 3"
"x= 3.33333, f(x) = 8.88889, t(x) = 9.96252, Yintra = 3.90763, Yextra = 13.8701, Igx = 3.66667"
"x= 4, f(x) = 9.6, t(x) = 9.67169, Yintra = 4.76416, Yextra = 14.4358, Igx = 4.33333"
"x= 4.66667, f(x) = 9.95556, t(x) = 9.15301, Yintra = 5.37905, Yextra = 14.5321, Igx = 5"
"x= 5.33333, f(x) = 9.95556, t(x) = 8.45316, Yintra = 5.72898, Yextra = 14.1821, Igx = 5.66667"
"x= 6, f(x) = 9.6, t(x) = 7.60562, Yintra = 5.79719, Yextra = 13.4028, Igx = 6.33333"
"x= 6.66667, f(x) = 8.88889, t(x) = 6.63388, Yintra = 5.57195, Yextra = 12.2058, Igx = 7"
"x= 7.33333, f(x) = 7.82222, t(x) = 5.55325, Yintra = 5.0456, Yextra = 10.5988, Igx = 7.66667"
"x= 8, f(x) = 6.4, t(x) = 4.37186, Yintra = 4.21407, Yextra = 8.58593, Igx = 8.33333"
"x= 8.66667, f(x) = 4.62222, t(x) = 3.09139, Yintra = 3.07653, Yextra = 6.16792, Igx = 9"
"x= 9.33333, f(x) = 2.48889, t(x) = 1.70747, Yintra = 1.63515, Yextra = 3.34262, Igx = 9.66667"
"x= 10, f(x) = 0.00000000000000888178, t(x) = 0.21, Yintra = -0.105, Yextra = 0.105, Igx = 10.3333"
