"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.0833333"
"x= 0.166667, f(x) = 3.27778, t(x) = 18.0666, Yintra = -5.75554, Yextra = 12.3111, Igx = 0.25"
"x= 0.333333, f(x) = 6.44444, t(x) = 24.813, Yintra = -5.96206, Yextra = 18.8509, Igx = 0.416667"
"x= 0.5, f(x) = 9.5, t(x) = 29.6224, Yintra = -5.31119, Yextra = 24.3112, Igx = 0.583333"
"x= 0.666667, f(x) = 12.4444, t(x) = 33.3894, Yintra = -4.25026, Yextra = 29.1391, Igx = 0.75"
"x= 0.833333, f(x) = 15.2778, t(x) = 36.4628, Yintra = -2.95362, Yextra = 33.5092, Igx = 0.916667"
"x= 1, f(x) = 18, t(x) = 39.0231, Yintra = -1.51154, Yextra = 37.5115, Igx = 1.08333"
"x= 1.16667, f(x) = 20.6111, t(x) = 41.1788, Yintra = 0.0217003, Yextra = 41.2005, Igx = 1.25"
"x= 1.33333, f(x) = 23.1111, t(x) = 43.0019, Yintra = 1.61019, Yextra = 44.612, Igx = 1.41667"
"x= 1.5, f(x) = 25.5, t(x) = 44.543, Yintra = 3.2285, Yextra = 47.7715, Igx = 1.58333"
"x= 1.66667, f(x) = 27.7778, t(x) = 45.8401, Yintra = 4.85774, Yextra = 50.6978, Igx = 1.75"
"x= 1.83333, f(x) = 29.9444, t(x) = 46.9223, Yintra = 6.48331, Yextra = 53.4056, Igx = 1.91667"
"x= 2, f(x) = 32, t(x) = 47.8129, Yintra = 8.09357, Yextra = 55.9064, Igx = 2.08333"
"x= 2.16667, f(x) = 33.9444, t(x) = 48.5309, Yintra = 9.679, Yextra = 58.2099, Igx = 2.25"
"x= 2.33333, f(x) = 35.7778, t(x) = 49.0922, Yintra = 11.2317, Yextra = 60.3239, Igx = 2.41667"
"x= 2.5, f(x) = 37.5, t(x) = 49.5104, Yintra = 12.7448, Yextra = 62.2552, Igx = 2.58333"
"x= 2.66667, f(x) = 39.1111, t(x) = 49.7969, Yintra = 14.2127, Yextra = 64.0095, Igx = 2.75"
"x= 2.83333, f(x) = 40.6111, t(x) = 49.9619, Yintra = 15.6302, Yextra = 65.5921, Igx = 2.91667"
"x= 3, f(x) = 42, t(x) = 50.0144, Yintra = 16.9928, Yextra = 67.0072, Igx = 3.08333"
"x= 3.16667, f(x) = 43.2778, t(x) = 49.9622, Yintra = 18.2967, Yextra = 68.2589, Igx = 3.25"
"x= 3.33333, f(x) = 44.4444, t(x) = 49.8126, Yintra = 19.5382, Yextra = 69.3507, Igx = 3.41667"
"x= 3.5, f(x) = 45.5, t(x) = 49.5718, Yintra = 20.7141, Yextra = 70.2859, Igx = 3.58333"
"x= 3.66667, f(x) = 46.4444, t(x) = 49.2458, Yintra = 21.8216, Yextra = 71.0673, Igx = 3.75"
"x= 3.83333, f(x) = 47.2778, t(x) = 48.8397, Yintra = 22.8579, Yextra = 71.6976, Igx = 3.91667"
"x= 4, f(x) = 48, t(x) = 48.3584, Yintra = 23.8208, Yextra = 72.1792, Igx = 4.08333"
"x= 4.16667, f(x) = 48.6111, t(x) = 47.8064, Yintra = 24.7079, Yextra = 72.5143, Igx = 4.25"
"x= 4.33333, f(x) = 49.1111, t(x) = 47.1877, Yintra = 25.5172, Yextra = 72.705, Igx = 4.41667"
"x= 4.5, f(x) = 49.5, t(x) = 46.5061, Yintra = 26.2469, Yextra = 72.7531, Igx = 4.58333"
"x= 4.66667, f(x) = 49.7778, t(x) = 45.765, Yintra = 26.8953, Yextra = 72.6603, Igx = 4.75"
"x= 4.83333, f(x) = 49.9444, t(x) = 44.9676, Yintra = 27.4606, Yextra = 72.4283, Igx = 4.91667"
"x= 5, f(x) = 50, t(x) = 44.1169, Yintra = 27.9416, Yextra = 72.0584, Igx = 5.08333"
"x= 5.16667, f(x) = 49.9444, t(x) = 43.2154, Yintra = 28.3367, Yextra = 71.5522, Igx = 5.25"
"x= 5.33333, f(x) = 49.7778, t(x) = 42.2658, Yintra = 28.6449, Yextra = 70.9107, Igx = 5.41667"
"x= 5.5, f(x) = 49.5, t(x) = 41.2702, Yintra = 28.8649, Yextra = 70.1351, Igx = 5.58333"
"x= 5.66667, f(x) = 49.1111, t(x) = 40.2309, Yintra = 28.9957, Yextra = 69.2265, Igx = 5.75"
"x= 5.83333, f(x) = 48.6111, t(x) = 39.1496, Yintra = 29.0363, Yextra = 68.1859, Igx = 5.91667"
"x= 6, f(x) = 48, t(x) = 38.0281, Yintra = 28.986, Yextra = 67.014, Igx = 6.08333"
"x= 6.16667, f(x) = 47.2778, t(x) = 36.868, Yintra = 28.8438, Yextra = 65.7118, Igx = 6.25"
