"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0"
"x= 0.25, f(x) = 0.04975, t(x) = 0.508881, Yintra = -0.204691, Yextra = 0.304191, Igx = 0.0000025653"
"x= 0.5, f(x) = 0.099, t(x) = 0.709878, Yintra = -0.255939, Yextra = 0.453939, Igx = 0.0000202146"
"x= 0.75, f(x) = 0.14775, t(x) = 0.859863, Yintra = -0.282182, Yextra = 0.577681, Igx = 0.0000671957"
"x= 1, f(x) = 0.196, t(x) = 0.98324, Yintra = -0.29562, Yextra = 0.68762, Igx = 0.000156865"
"x= 1.25, f(x) = 0.24375, t(x) = 1.08947, Yintra = -0.300983, Yextra = 0.788483, Igx = 0.000301712"
"x= 1.5, f(x) = 0.291, t(x) = 1.18339, Yintra = -0.300697, Yextra = 0.882697, Igx = 0.000513379"
"x= 1.75, f(x) = 0.33775, t(x) = 1.26791, Yintra = -0.296203, Yextra = 0.971703, Igx = 0.000802684"
"x= 2, f(x) = 0.384, t(x) = 1.34488, Yintra = -0.288442, Yextra = 1.05644, Igx = 0.00117965"
"x= 2.25, f(x) = 0.42975, t(x) = 1.41564, Yintra = -0.278069, Yextra = 1.13757, Igx = 0.00165351"
"x= 2.5, f(x) = 0.475, t(x) = 1.48112, Yintra = -0.26556, Yextra = 1.21556, Igx = 0.00223275"
"x= 2.75, f(x) = 0.51975, t(x) = 1.54205, Yintra = -0.251275, Yextra = 1.29078, Igx = 0.00292511"
"x= 3, f(x) = 0.564, t(x) = 1.59899, Yintra = -0.235496, Yextra = 1.3635, Igx = 0.00373763"
"x= 3.25, f(x) = 0.60775, t(x) = 1.65239, Yintra = -0.218446, Yextra = 1.43395, Igx = 0.00467664"
"x= 3.5, f(x) = 0.651, t(x) = 1.70261, Yintra = -0.200307, Yextra = 1.50231, Igx = 0.0057478"
"x= 3.75, f(x) = 0.69375, t(x) = 1.74996, Yintra = -0.18123, Yextra = 1.56873, Igx = 0.00695613"
"x= 4, f(x) = 0.736, t(x) = 1.79468, Yintra = -0.16134, Yextra = 1.63334, Igx = 0.00830601"
"x= 4.25, f(x) = 0.77775, t(x) = 1.83699, Yintra = -0.140743, Yextra = 1.69624, Igx = 0.00980119"
"x= 4.5, f(x) = 0.819, t(x) = 1.87707, Yintra = -0.119533, Yextra = 1.75753, Igx = 0.0114449"
"x= 4.75, f(x) = 0.85975, t(x) = 1.91508, Yintra = -0.0977878, Yextra = 1.81729, Igx = 0.0132396"
"x= 5, f(x) = 0.9, t(x) = 1.95115, Yintra = -0.0755772, Yextra = 1.87558, Igx = 0.0151875"
"x= 5.25, f(x) = 0.93975, t(x) = 1.98542, Yintra = -0.0529623, Yextra = 1.93246, Igx = 0.01729"
"x= 5.5, f(x) = 0.979, t(x) = 2.01799, Yintra = -0.0299972, Yextra = 1.988, Igx = 0.0195482"
"x= 5.75, f(x) = 1.01775, t(x) = 2.04896, Yintra = -0.00673014, Yextra = 2.04223, Igx = 0.0219625"
"x= 6, f(x) = 1.056, t(x) = 2.07841, Yintra = 0.0167955, Yextra = 2.0952, Igx = 0.024533"
"x= 6.25, f(x) = 1.09375, t(x) = 2.10642, Yintra = 0.0405407, Yextra = 2.14696, Igx = 0.0272592"
"x= 6.5, f(x) = 1.131, t(x) = 2.13306, Yintra = 0.0644701, Yextra = 2.19753, Igx = 0.0301402"
"x= 6.75, f(x) = 1.16775, t(x) = 2.1584, Yintra = 0.0885514, Yextra = 2.24695, Igx = 0.0331748"
"x= 7, f(x) = 1.204, t(x) = 2.18249, Yintra = 0.112755, Yextra = 2.29524, Igx = 0.0363612"
"x= 7.25, f(x) = 1.23975, t(x) = 2.20539, Yintra = 0.137055, Yextra = 2.34245, Igx = 0.0396973"
"x= 7.5, f(x) = 1.275, t(x) = 2.22715, Yintra = 0.161425, Yextra = 2.38858, Igx = 0.0431807"
"x= 7.75, f(x) = 1.30975, t(x) = 2.24781, Yintra = 0.185843, Yextra = 2.43366, Igx = 0.0468084"
"x= 8, f(x) = 1.344, t(x) = 2.26743, Yintra = 0.210287, Yextra = 2.47771, Igx = 0.0505774"
"x= 8.25, f(x) = 1.37775, t(x) = 2.28602, Yintra = 0.234739, Yextra = 2.52076, Igx = 0.0544841"
"x= 8.5, f(x) = 1.411, t(x) = 2.30364, Yintra = 0.259178, Yextra = 2.56282, Igx = 0.0585248"
"x= 8.75, f(x) = 1.44375, t(x) = 2.32032, Yintra = 0.283589, Yextra = 2.60391, Igx = 0.0626953"
"x= 9, f(x) = 1.476, t(x) = 2.33609, Yintra = 0.307954, Yextra = 2.64405, Igx = 0.0669912"
"x= 9.25, f(x) = 1.50775, t(x) = 2.35098, Yintra = 0.33226, Yextra = 2.68324, Igx = 0.071408"
"x= 9.5, f(x) = 1.539, t(x) = 2.36502, Yintra = 0.356491, Yextra = 2.72151, Igx = 0.0759407"
"x= 9.75, f(x) = 1.56975, t(x) = 2.37823, Yintra = 0.380635, Yextra = 2.75886, Igx = 0.0805843"
"x= 10, f(x) = 1.6, t(x) = 2.39064, Yintra = 0.404679, Yextra = 2.79532, Igx = 0.0853333"
