"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0"
"x= 20.28, f(x) = 0, t(x) = 99.0731, Yintra = -49.5365, Yextra = 49.5365, Igx = 1643440"
"x= 40.56, f(x) = 0, t(x) = 138.205, Yintra = -69.1024, Yextra = 69.1024, Igx = 4461240"
"x= 60.84, f(x) = 0, t(x) = 167.405, Yintra = -83.7025, Yextra = 83.7025, Igx = 7928520"
"x= 81.12, f(x) = 0, t(x) = 191.425, Yintra = -95.7126, Yextra = 95.7126, Igx = 11854500"
"x= 101.4, f(x) = 0, t(x) = 212.106, Yintra = -106.053, Yextra = 106.053, Igx = 16126700"
"x= 121.68, f(x) = 0, t(x) = 230.393, Yintra = -115.196, Yextra = 115.196, Igx = 20667700"
"x= 141.96, f(x) = 0, t(x) = 246.846, Yintra = -123.423, Yextra = 123.423, Igx = 25419400"
"x= 162.24, f(x) = 0, t(x) = 261.833, Yintra = -130.916, Yextra = 130.916, Igx = 30336100"
"x= 182.52, f(x) = 0, t(x) = 275.608, Yintra = -137.804, Yextra = 137.804, Igx = 35380200"
"x= 202.8, f(x) = 0, t(x) = 288.356, Yintra = -144.178, Yextra = 144.178, Igx = 40520400"
"x= 223.08, f(x) = 0, t(x) = 300.219, Yintra = -150.109, Yextra = 150.109, Igx = 45729800"
"x= 243.36, f(x) = 0, t(x) = 311.305, Yintra = -155.652, Yextra = 155.652, Igx = 50985100"
"x= 263.64, f(x) = 0, t(x) = 321.701, Yintra = -160.85, Yextra = 160.85, Igx = 56265700"
"x= 283.92, f(x) = 0, t(x) = 331.479, Yintra = -165.739, Yextra = 165.739, Igx = 61553600"
"x= 304.2, f(x) = 0, t(x) = 340.696, Yintra = -170.348, Yextra = 170.348, Igx = 66832600"
"x= 324.48, f(x) = 0, t(x) = 349.402, Yintra = -174.701, Yextra = 174.701, Igx = 72088300"
"x= 344.76, f(x) = 0, t(x) = 357.639, Yintra = -178.82, Yextra = 178.82, Igx = 77307600"
"x= 365.04, f(x) = 0, t(x) = 365.442, Yintra = -182.721, Yextra = 182.721, Igx = 82478900"
"x= 385.32, f(x) = 0, t(x) = 372.842, Yintra = -186.421, Yextra = 186.421, Igx = 87591500"
"x= 405.6, f(x) = 0, t(x) = 379.866, Yintra = -189.933, Yextra = 189.933, Igx = 92635900"
"x= 425.88, f(x) = 0, t(x) = 386.538, Yintra = -193.269, Yextra = 193.269, Igx = 97603300"
"x= 446.16, f(x) = 0, t(x) = 392.879, Yintra = -196.44, Yextra = 196.44, Igx = 102486000"
"x= 466.44, f(x) = 0, t(x) = 398.908, Yintra = -199.454, Yextra = 199.454, Igx = 107277000"
"x= 486.72, f(x) = 0, t(x) = 404.641, Yintra = -202.321, Yextra = 202.321, Igx = 111969000"
"x= 507, f(x) = 0, t(x) = 410.094, Yintra = -205.047, Yextra = 205.047, Igx = 116557000"
"x= 527.28, f(x) = 0, t(x) = 415.281, Yintra = -207.641, Yextra = 207.641, Igx = 121036000"
"x= 547.56, f(x) = 0, t(x) = 420.214, Yintra = -210.107, Yextra = 210.107, Igx = 125400000"
"x= 567.84, f(x) = 0, t(x) = 424.904, Yintra = -212.452, Yextra = 212.452, Igx = 129646000"
"x= 588.12, f(x) = 0, t(x) = 429.363, Yintra = -214.682, Yextra = 214.682, Igx = 133771000"
"x= 608.4, f(x) = 0, t(x) = 433.599, Yintra = -216.8, Yextra = 216.8, Igx = 137769000"
"x= 628.68, f(x) = 0, t(x) = 437.622, Yintra = -218.811, Yextra = 218.811, Igx = 141640000"
"x= 648.96, f(x) = 0, t(x) = 441.44, Yintra = -220.72, Yextra = 220.72, Igx = 145380000"
"x= 669.24, f(x) = 0, t(x) = 445.061, Yintra = -222.531, Yextra = 222.531, Igx = 148986000"
"x= 689.52, f(x) = 0, t(x) = 448.492, Yintra = -224.246, Yextra = 224.246, Igx = 152458000"
"x= 709.8, f(x) = 0, t(x) = 451.739, Yintra = -225.869, Yextra = 225.869, Igx = 155794000"
"x= 730.08, f(x) = 0, t(x) = 454.809, Yintra = -227.404, Yextra = 227.404, Igx = 158991000"
"x= 750.36, f(x) = 0, t(x) = 457.708, Yintra = -228.854, Yextra = 228.854, Igx = 162051000"
"x= 770.64, f(x) = 0, t(x) = 460.44, Yintra = -230.22, Yextra = 230.22, Igx = 164971000"
"x= 790.92, f(x) = 0, t(x) = 463.013, Yintra = -231.506, Yextra = 231.506, Igx = 167751000"
"x= 811.2, f(x) = 0, t(x) = 465.429, Yintra = -232.715, Yextra = 232.715, Igx = 170392000"
"x= 831.48, f(x) = 0, t(x) = 467.695, Yintra = -233.848, Yextra = 233.848, Igx = 172892000"
"x= 851.76, f(x) = 0, t(x) = 469.814, Yintra = -234.907, Yextra = 234.907, Igx = 175253000"
"x= 872.04, f(x) = 0, t(x) = 471.791, Yintra = -235.896, Yextra = 235.896, Igx = 177474000"
"x= 892.32, f(x) = 0, t(x) = 473.629, Yintra = -236.815, Yextra = 236.815, Igx = 179557000"
"x= 912.6, f(x) = 0, t(x) = 475.333, Yintra = -237.667, Yextra = 237.667, Igx = 181502000"
"x= 932.88, f(x) = 0, t(x) = 476.906, Yintra = -238.453, Yextra = 238.453, Igx = 183309000"
"x= 953.16, f(x) = 0, t(x) = 478.351, Yintra = -239.176, Yextra = 239.176, Igx = 184981000"
"x= 973.44, f(x) = 0, t(x) = 479.672, Yintra = -239.836, Yextra = 239.836, Igx = 186518000"
"x= 993.72, f(x) = 0, t(x) = 480.872, Yintra = -240.436, Yextra = 240.436, Igx = 187921000"
"x= 1014, f(x) = 0, t(x) = 481.954, Yintra = -240.977, Yextra = 240.977, Igx = 189192000"
"x= 1034.28, f(x) = 0, t(x) = 482.92, Yintra = -241.46, Yextra = 241.46, Igx = 190332000"
"x= 1054.56, f(x) = 0, t(x) = 483.774, Yintra = -241.887, Yextra = 241.887, Igx = 191344000"
"x= 1074.84, f(x) = 0, t(x) = 484.518, Yintra = -242.259, Yextra = 242.259, Igx = 192228000"
"x= 1095.12, f(x) = 0, t(x) = 485.156, Yintra = -242.578, Yextra = 242.578, Igx = 192988000"
"x= 1115.4, f(x) = 0, t(x) = 485.688, Yintra = -242.844, Yextra = 242.844, Igx = 193624000"
"x= 1135.68, f(x) = 0, t(x) = 486.118, Yintra = -243.059, Yextra = 243.059, Igx = 194139000"
"x= 1155.96, f(x) = 0, t(x) = 486.448, Yintra = -243.224, Yextra = 243.224, Igx = 194534000"
"x= 1176.24, f(x) = 0, t(x) = 486.681, Yintra = -243.34, Yextra = 243.34, Igx = 194813000"
"x= 1196.52, f(x) = 0, t(x) = 486.817, Yintra = -243.409, Yextra = 243.409, Igx = 194977000"
"x= 1216.8, f(x) = 0, t(x) = 486.86, Yintra = -243.43, Yextra = 243.43, Igx = 195029000"
"x= 1237.08, f(x) = 0, t(x) = 486.811, Yintra = -243.406, Yextra = 243.406, Igx = 194971000"
"x= 1257.36, f(x) = 0, t(x) = 486.673, Yintra = -243.337, Yextra = 243.337, Igx = 194804000"
"x= 1277.64, f(x) = 0, t(x) = 486.447, Yintra = -243.224, Yextra = 243.224, Igx = 194533000"
"x= 1297.92, f(x) = 0, t(x) = 486.135, Yintra = -243.067, Yextra = 243.067, Igx = 194159000"
"x= 1318.2, f(x) = 0, t(x) = 485.739, Yintra = -242.869, Yextra = 242.869, Igx = 193684000"
"x= 1338.48, f(x) = 0, t(x) = 485.26, Yintra = -242.63, Yextra = 242.63, Igx = 193112000"
"x= 1358.76, f(x) = 0, t(x) = 484.7, Yintra = -242.35, Yextra = 242.35, Igx = 192445000"
"x= 1379.04, f(x) = 0, t(x) = 484.061, Yintra = -242.031, Yextra = 242.031, Igx = 191685000"
"x= 1399.32, f(x) = 0, t(x) = 483.345, Yintra = -241.672, Yextra = 241.672, Igx = 190835000"
"x= 1419.6, f(x) = 0, t(x) = 482.552, Yintra = -241.276, Yextra = 241.276, Igx = 189897000"
"x= 1439.88, f(x) = 0, t(x) = 481.684, Yintra = -240.842, Yextra = 240.842, Igx = 188875000"
"x= 1460.16, f(x) = 0, t(x) = 480.744, Yintra = -240.372, Yextra = 240.372, Igx = 187771000"
"x= 1480.44, f(x) = 0, t(x) = 479.731, Yintra = -239.866, Yextra = 239.866, Igx = 186587000"
"x= 1500.72, f(x) = 0, t(x) = 478.648, Yintra = -239.324, Yextra = 239.324, Igx = 185326000"
"x= 1521, f(x) = 0, t(x) = 477.496, Yintra = -238.748, Yextra = 238.748, Igx = 183990000"
"x= 1541.28, f(x) = 0, t(x) = 476.276, Yintra = -238.138, Yextra = 238.138, Igx = 182583000"
"x= 1561.56, f(x) = 0, t(x) = 474.989, Yintra = -237.494, Yextra = 237.494, Igx = 181108000"
"x= 1581.84, f(x) = 0, t(x) = 473.636, Yintra = -236.818, Yextra = 236.818, Igx = 179565000"
"x= 1602.12, f(x) = 0, t(x) = 472.22, Yintra = -236.11, Yextra = 236.11, Igx = 177959000"
"x= 1622.4, f(x) = 0, t(x) = 470.74, Yintra = -235.37, Yextra = 235.37, Igx = 176291000"
"x= 1642.68, f(x) = 0, t(x) = 469.199, Yintra = -234.599, Yextra = 234.599, Igx = 174565000"
"x= 1662.96, f(x) = 0, t(x) = 467.596, Yintra = -233.798, Yextra = 233.798, Igx = 172782000"
"x= 1683.24, f(x) = 0, t(x) = 465.934, Yintra = -232.967, Yextra = 232.967, Igx = 170946000"
"x= 1703.52, f(x) = 0, t(x) = 464.213, Yintra = -232.107, Yextra = 232.107, Igx = 169059000"
"x= 1723.8, f(x) = 0, t(x) = 462.434, Yintra = -231.217, Yextra = 231.217, Igx = 167123000"
"x= 1744.08, f(x) = 0, t(x) = 460.599, Yintra = -230.3, Yextra = 230.3, Igx = 165141000"
"x= 1764.36, f(x) = 0, t(x) = 458.708, Yintra = -229.354, Yextra = 229.354, Igx = 163116000"
"x= 1784.64, f(x) = 0, t(x) = 456.762, Yintra = -228.381, Yextra = 228.381, Igx = 161048000"
"x= 1804.92, f(x) = 0, t(x) = 454.762, Yintra = -227.381, Yextra = 227.381, Igx = 158942000"
"x= 1825.2, f(x) = 0, t(x) = 452.709, Yintra = -226.355, Yextra = 226.355, Igx = 156800000"
"x= 1845.48, f(x) = 0, t(x) = 450.604, Yintra = -225.302, Yextra = 225.302, Igx = 154623000"
"x= 1865.76, f(x) = 0, t(x) = 448.448, Yintra = -224.224, Yextra = 224.224, Igx = 152414000"
"x= 1886.04, f(x) = 0, t(x) = 446.242, Yintra = -223.121, Yextra = 223.121, Igx = 150175000"
"x= 1906.32, f(x) = 0, t(x) = 443.986, Yintra = -221.993, Yextra = 221.993, Igx = 147909000"
"x= 1926.6, f(x) = 0, t(x) = 441.681, Yintra = -220.84, Yextra = 220.84, Igx = 145617000"
"x= 1946.88, f(x) = 0, t(x) = 439.328, Yintra = -219.664, Yextra = 219.664, Igx = 143302000"
"x= 1967.16, f(x) = 0, t(x) = 436.928, Yintra = -218.464, Yextra = 218.464, Igx = 140966000"
"x= 1987.44, f(x) = 0, t(x) = 434.481, Yintra = -217.241, Yextra = 217.241, Igx = 138612000"
"x= 2007.72, f(x) = 0, t(x) = 431.989, Yintra = -215.994, Yextra = 215.994, Igx = 136240000"
"x= 2028, f(x) = 0, t(x) = 429.451, Yintra = -214.726, Yextra = 214.726, Igx = 133853000"
"x= 2048.28, f(x) = 0, t(x) = 426.869, Yintra = -213.435, Yextra = 213.435, Igx = 131453000"
