"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0"
"x= 963.852, f(x) = 462.185, t(x) = 4463.82, Yintra = -1769.72, Yextra = 2694.09, Igx = 7144110000000"
"x= 1927.7, f(x) = 923.445, t(x) = 6276.78, Yintra = -2214.95, Yextra = 4061.84, Igx = 19862800000000"
"x= 2891.56, f(x) = 1383.78, t(x) = 7653.33, Yintra = -2442.89, Yextra = 5210.45, Igx = 36006500000000"
"x= 3855.41, f(x) = 1843.19, t(x) = 8803.82, Yintra = -2558.72, Yextra = 6245.1, Igx = 54807900000000"
"x= 4819.26, f(x) = 2301.67, t(x) = 9809.72, Yintra = -2603.19, Yextra = 7206.53, Igx = 75822700000000"
"x= 5783.11, f(x) = 2759.23, t(x) = 10712.8, Yintra = -2597.18, Yextra = 8115.64, Igx = 98750800000000"
"x= 6746.96, f(x) = 3215.87, t(x) = 11537.9, Yintra = -2553.1, Yextra = 8984.83, Igx = 123371000000000"
"x= 7710.82, f(x) = 3671.57, t(x) = 12301.3, Yintra = -2479.05, Yextra = 9822.2, Igx = 149512000000000"
"x= 8674.67, f(x) = 4126.36, t(x) = 13014, Yintra = -2380.64, Yextra = 10633.4, Igx = 177036000000000"
"x= 9638.52, f(x) = 4580.22, t(x) = 13684.3, Yintra = -2261.96, Yextra = 11422.4, Igx = 205827000000000"
"x= 10602.4, f(x) = 5033.15, t(x) = 14318.5, Yintra = -2126.1, Yextra = 12192.4, Igx = 235787000000000"
"x= 11566.2, f(x) = 5485.15, t(x) = 14921.2, Yintra = -1975.45, Yextra = 12945.8, Igx = 266834000000000"
"x= 12530.1, f(x) = 5936.24, t(x) = 15496.3, Yintra = -1811.93, Yextra = 13684.4, Igx = 298893000000000"
"x= 13493.9, f(x) = 6386.39, t(x) = 16047, Yintra = -1637.08, Yextra = 14409.9, Igx = 331900000000000"
"x= 14457.8, f(x) = 6835.62, t(x) = 16575.6, Yintra = -1452.18, Yextra = 15123.4, Igx = 365795000000000"
"x= 15421.6, f(x) = 7283.93, t(x) = 17084.4, Yintra = -1258.29, Yextra = 15826.2, Igx = 400527000000000"
"x= 16385.5, f(x) = 7731.31, t(x) = 17575.3, Yintra = -1056.32, Yextra = 16518.9, Igx = 436048000000000"
"x= 17349.3, f(x) = 8177.77, t(x) = 18049.6, Yintra = -847.032, Yextra = 17202.6, Igx = 472315000000000"
"x= 18313.2, f(x) = 8623.3, t(x) = 18508.8, Yintra = -631.093, Yextra = 17877.7, Igx = 509287000000000"
"x= 19277, f(x) = 9067.9, t(x) = 18954, Yintra = -409.082, Yextra = 18544.9, Igx = 546927000000000"
"x= 20240.9, f(x) = 9511.58, t(x) = 19386.2, Yintra = -181.507, Yextra = 19204.7, Igx = 585202000000000"
"x= 21204.7, f(x) = 9954.33, t(x) = 19806.3, Yintra = 51.185, Yextra = 19857.5, Igx = 624078000000000"
"x= 22168.6, f(x) = 10396.2, t(x) = 20215.1, Yintra = 288.597, Yextra = 20503.7, Igx = 663527000000000"
"x= 23132.4, f(x) = 10837.1, t(x) = 20613.4, Yintra = 530.374, Yextra = 21143.8, Igx = 703521000000000"
"x= 24096.3, f(x) = 11277, t(x) = 21001.7, Yintra = 776.199, Yextra = 21777.9, Igx = 744033000000000"
"x= 25060.2, f(x) = 11716.1, t(x) = 21380.6, Yintra = 1025.79, Yextra = 22406.4, Igx = 785037000000000"
"x= 26024, f(x) = 12154.2, t(x) = 21750.7, Yintra = 1278.87, Yextra = 23029.6, Igx = 826512000000000"
"x= 26987.9, f(x) = 12591.4, t(x) = 22112.4, Yintra = 1535.23, Yextra = 23647.6, Igx = 868434000000000"
"x= 27951.7, f(x) = 13027.7, t(x) = 22466.1, Yintra = 1794.63, Yextra = 24260.8, Igx = 910783000000000"
"x= 28915.6, f(x) = 13463.1, t(x) = 22812.3, Yintra = 2056.89, Yextra = 24869.2, Igx = 953537000000000"
"x= 29879.4, f(x) = 13897.5, t(x) = 23151.3, Yintra = 2321.83, Yextra = 25473.1, Igx = 996679000000000"
"x= 30843.3, f(x) = 14331, t(x) = 23483.4, Yintra = 2589.28, Yextra = 26072.7, Igx = 1.04019e15"
"x= 31807.1, f(x) = 14763.6, t(x) = 23809, Yintra = 2859.08, Yextra = 26668, Igx = 1.08405e15"
"x= 32771, f(x) = 15195.2, t(x) = 24128.2, Yintra = 3131.1, Yextra = 27259.3, Igx = 1.12825e15"
"x= 33734.8, f(x) = 15625.9, t(x) = 24441.5, Yintra = 3405.2, Yextra = 27846.7, Igx = 1.17277e15"
"x= 34698.7, f(x) = 16055.7, t(x) = 24748.9, Yintra = 3681.27, Yextra = 28430.2, Igx = 1.21758e15"
"x= 35662.5, f(x) = 16484.6, t(x) = 25050.9, Yintra = 3959.18, Yextra = 29010, Igx = 1.26269e15"
"x= 36626.4, f(x) = 16912.6, t(x) = 25347.4, Yintra = 4238.84, Yextra = 29586.3, Igx = 1.30807e15"
"x= 37590.2, f(x) = 17339.6, t(x) = 25638.9, Yintra = 4520.14, Yextra = 30159, Igx = 1.35371e15"
"x= 38554.1, f(x) = 17765.7, t(x) = 25925.4, Yintra = 4802.99, Yextra = 30728.4, Igx = 1.3996e15"
"x= 39517.9, f(x) = 18190.9, t(x) = 26207.1, Yintra = 5087.3, Yextra = 31294.4, Igx = 1.44573e15"
"x= 40481.8, f(x) = 18615.1, t(x) = 26484.2, Yintra = 5373, Yextra = 31857.2, Igx = 1.49207e15"
"x= 41445.6, f(x) = 19038.4, t(x) = 26756.8, Yintra = 5660.01, Yextra = 32416.8, Igx = 1.53863e15"
"x= 42409.5, f(x) = 19460.8, t(x) = 27025.2, Yintra = 5948.24, Yextra = 32973.4, Igx = 1.58538e15"
"x= 43373.3, f(x) = 19882.3, t(x) = 27289.3, Yintra = 6237.65, Yextra = 33526.9, Igx = 1.63232e15"
"x= 44337.2, f(x) = 20302.8, t(x) = 27549.4, Yintra = 6528.15, Yextra = 34077.5, Igx = 1.67944e15"
"x= 45301, f(x) = 20722.5, t(x) = 27805.6, Yintra = 6819.69, Yextra = 34625.2, Igx = 1.72673e15"
"x= 46264.9, f(x) = 21141.2, t(x) = 28057.9, Yintra = 7112.21, Yextra = 35170.1, Igx = 1.77417e15"
"x= 47228.7, f(x) = 21558.9, t(x) = 28306.5, Yintra = 7405.66, Yextra = 35712.2, Igx = 1.82175e15"
"x= 48192.6, f(x) = 21975.8, t(x) = 28551.6, Yintra = 7699.98, Yextra = 36251.6, Igx = 1.86948e15"
"x= 49156.5, f(x) = 22391.7, t(x) = 28793.1, Yintra = 7995.13, Yextra = 36788.3, Igx = 1.91733e15"
"x= 50120.3, f(x) = 22806.7, t(x) = 29031.3, Yintra = 8291.05, Yextra = 37322.3, Igx = 1.96529e15"
"x= 51084.2, f(x) = 23220.8, t(x) = 29266.1, Yintra = 8587.71, Yextra = 37853.8, Igx = 2.01337e15"
"x= 52048, f(x) = 23633.9, t(x) = 29497.7, Yintra = 8885.06, Yextra = 38382.8, Igx = 2.06155e15"
"x= 53011.9, f(x) = 24046.1, t(x) = 29726.2, Yintra = 9183.05, Yextra = 38909.2, Igx = 2.10982e15"
"x= 53975.7, f(x) = 24457.4, t(x) = 29951.5, Yintra = 9481.65, Yextra = 39433.2, Igx = 2.15818e15"
"x= 54939.6, f(x) = 24867.8, t(x) = 30173.9, Yintra = 9780.83, Yextra = 39954.8, Igx = 2.20661e15"
"x= 55903.4, f(x) = 25277.2, t(x) = 30393.4, Yintra = 10080.5, Yextra = 40473.9, Igx = 2.25511e15"
"x= 56867.3, f(x) = 25685.8, t(x) = 30610, Yintra = 10380.7, Yextra = 40990.8, Igx = 2.30367e15"
"x= 57831.1, f(x) = 26093.3, t(x) = 30823.8, Yintra = 10681.4, Yextra = 41505.3, Igx = 2.35228e15"
"x= 58795, f(x) = 26500, t(x) = 31034.9, Yintra = 10982.5, Yextra = 42017.5, Igx = 2.40094e15"
"x= 59758.8, f(x) = 26905.8, t(x) = 31243.4, Yintra = 11284.1, Yextra = 42527.4, Igx = 2.44964e15"
"x= 60722.7, f(x) = 27310.6, t(x) = 31449.2, Yintra = 11586, Yextra = 43035.2, Igx = 2.49837e15"
"x= 61686.5, f(x) = 27714.5, t(x) = 31652.5, Yintra = 11888.2, Yextra = 43540.7, Igx = 2.54713e15"
"x= 62650.4, f(x) = 28117.4, t(x) = 31853.2, Yintra = 12190.8, Yextra = 44044.1, Igx = 2.59591e15"
"x= 63614.2, f(x) = 28519.5, t(x) = 32051.6, Yintra = 12493.7, Yextra = 44545.3, Igx = 2.6447e15"
"x= 64578.1, f(x) = 28920.6, t(x) = 32247.5, Yintra = 12796.8, Yextra = 45044.3, Igx = 2.6935e15"
"x= 65541.9, f(x) = 29320.8, t(x) = 32441.1, Yintra = 13100.2, Yextra = 45541.3, Igx = 2.7423e15"
"x= 66505.8, f(x) = 29720, t(x) = 32632.4, Yintra = 13403.9, Yextra = 46036.2, Igx = 2.79109e15"
"x= 67469.6, f(x) = 30118.4, t(x) = 32821.4, Yintra = 13707.7, Yextra = 46529.1, Igx = 2.83988e15"
