"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.25"
"x= 0.5, f(x) = 1.99, t(x) = 20.3552, Yintra = -8.18762, Yextra = 12.1676, Igx = 0.75"
"x= 1, f(x) = 3.96, t(x) = 28.3951, Yintra = -10.2376, Yextra = 18.1576, Igx = 1.25"
"x= 1.5, f(x) = 5.91, t(x) = 34.3945, Yintra = -11.2873, Yextra = 23.1073, Igx = 1.75"
"x= 2, f(x) = 7.84, t(x) = 39.3296, Yintra = -11.8248, Yextra = 27.5048, Igx = 2.25"
"x= 2.5, f(x) = 9.75, t(x) = 43.5787, Yintra = -12.0393, Yextra = 31.5393, Igx = 2.75"
"x= 3, f(x) = 11.64, t(x) = 47.3357, Yintra = -12.0279, Yextra = 35.3079, Igx = 3.25"
"x= 3.5, f(x) = 13.51, t(x) = 50.7162, Yintra = -11.8481, Yextra = 38.8681, Igx = 3.75"
"x= 4, f(x) = 15.36, t(x) = 53.7954, Yintra = -11.5377, Yextra = 42.2577, Igx = 4.25"
"x= 4.5, f(x) = 17.19, t(x) = 56.6255, Yintra = -11.1228, Yextra = 45.5028, Igx = 4.75"
"x= 5, f(x) = 19, t(x) = 59.2448, Yintra = -10.6224, Yextra = 48.6224, Igx = 5.25"
"x= 5.5, f(x) = 20.79, t(x) = 61.682, Yintra = -10.051, Yextra = 51.631, Igx = 5.75"
"x= 6, f(x) = 22.56, t(x) = 63.9597, Yintra = -9.41984, Yextra = 54.5398, Igx = 6.25"
"x= 6.5, f(x) = 24.31, t(x) = 66.0957, Yintra = -8.73785, Yextra = 57.3578, Igx = 6.75"
"x= 7, f(x) = 26.04, t(x) = 68.1046, Yintra = -8.0123, Yextra = 60.0923, Igx = 7.25"
"x= 7.5, f(x) = 27.75, t(x) = 69.9984, Yintra = -7.2492, Yextra = 62.7492, Igx = 7.75"
"x= 8, f(x) = 29.44, t(x) = 71.7872, Yintra = -6.45358, Yextra = 65.3336, Igx = 8.25"
"x= 8.5, f(x) = 31.11, t(x) = 73.4795, Yintra = -5.62973, Yextra = 67.8497, Igx = 8.75"
"x= 9, f(x) = 32.76, t(x) = 75.0826, Yintra = -4.78132, Yextra = 70.3013, Igx = 9.25"
"x= 9.5, f(x) = 34.39, t(x) = 76.603, Yintra = -3.91151, Yextra = 72.6915, Igx = 9.75"
"x= 10, f(x) = 36, t(x) = 78.0462, Yintra = -3.02309, Yextra = 75.0231, Igx = 10.25"
"x= 10.5, f(x) = 37.59, t(x) = 79.417, Yintra = -2.11849, Yextra = 77.2985, Igx = 10.75"
"x= 11, f(x) = 39.16, t(x) = 80.7198, Yintra = -1.19989, Yextra = 79.5199, Igx = 11.25"
"x= 11.5, f(x) = 40.71, t(x) = 81.9584, Yintra = -0.269205, Yextra = 81.6892, Igx = 11.75"
"x= 12, f(x) = 42.24, t(x) = 83.1364, Yintra = 0.67182, Yextra = 83.8082, Igx = 12.25"
"x= 12.5, f(x) = 43.75, t(x) = 84.2567, Yintra = 1.62163, Yextra = 85.8784, Igx = 12.75"
"x= 13, f(x) = 45.24, t(x) = 85.3224, Yintra = 2.5788, Yextra = 87.9012, Igx = 13.25"
"x= 13.5, f(x) = 46.71, t(x) = 86.3359, Yintra = 3.54206, Yextra = 89.8779, Igx = 13.75"
"x= 14, f(x) = 48.16, t(x) = 87.2996, Yintra = 4.51021, Yextra = 91.8098, Igx = 14.25"
"x= 14.5, f(x) = 49.59, t(x) = 88.2156, Yintra = 5.48219, Yextra = 93.6978, Igx = 14.75"
