"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 1, f(x) = 3.99279, t(x) = 68.6787, Yintra = -30.3465, Yextra = 38.3321, Igx = 1.5"
"x= 2, f(x) = 7.97117, t(x) = 96.3719, Yintra = -40.2148, Yextra = 56.1571, Igx = 2.5"
"x= 3, f(x) = 11.9351, t(x) = 117.312, Yintra = -46.7206, Yextra = 70.5909, Igx = 3.5"
"x= 4, f(x) = 15.8847, t(x) = 134.749, Yintra = -51.4899, Yextra = 83.2593, Igx = 4.5"
"x= 5, f(x) = 19.8198, t(x) = 149.945, Yintra = -55.1525, Yextra = 94.7921, Igx = 5.5"
"x= 6, f(x) = 23.7405, t(x) = 163.543, Yintra = -58.0312, Yextra = 105.512, Igx = 6.5"
"x= 7, f(x) = 27.6468, t(x) = 175.93, Yintra = -60.3181, Yextra = 115.612, Igx = 7.5"
"x= 8, f(x) = 31.5387, t(x) = 187.354, Yintra = -62.1381, Yextra = 125.216, Igx = 8.5"
"x= 9, f(x) = 35.4162, t(x) = 197.989, Yintra = -63.5781, Yextra = 134.41, Igx = 9.5"
"x= 10, f(x) = 39.2793, t(x) = 207.961, Yintra = -64.7013, Yextra = 143.26, Igx = 10.5"
"x= 11, f(x) = 43.1279, t(x) = 217.367, Yintra = -65.5556, Yextra = 151.811, Igx = 11.5"
"x= 12, f(x) = 46.9622, t(x) = 226.28, Yintra = -66.1779, Yextra = 160.102, Igx = 12.5"
"x= 13, f(x) = 50.782, t(x) = 234.76, Yintra = -66.5979, Yextra = 168.162, Igx = 13.5"
"x= 14, f(x) = 54.5874, t(x) = 242.854, Yintra = -66.8394, Yextra = 176.014, Igx = 14.5"
"x= 15, f(x) = 58.3784, t(x) = 250.601, Yintra = -66.9223, Yextra = 183.679, Igx = 15.5"
"x= 16, f(x) = 62.155, t(x) = 258.036, Yintra = -66.8629, Yextra = 191.173, Igx = 16.5"
"x= 17, f(x) = 65.9171, t(x) = 265.185, Yintra = -66.6752, Yextra = 198.509, Igx = 17.5"
"x= 18, f(x) = 69.6649, t(x) = 272.072, Yintra = -66.3712, Yextra = 205.701, Igx = 18.5"
"x= 19, f(x) = 73.3982, t(x) = 278.719, Yintra = -65.9612, Yextra = 212.758, Igx = 19.5"
"x= 20, f(x) = 77.1171, t(x) = 285.142, Yintra = -65.4541, Yextra = 219.688, Igx = 20.5"
"x= 21, f(x) = 80.8216, t(x) = 291.359, Yintra = -64.8578, Yextra = 226.501, Igx = 21.5"
"x= 22, f(x) = 84.5117, t(x) = 297.382, Yintra = -64.1792, Yextra = 233.203, Igx = 22.5"
"x= 23, f(x) = 88.1874, t(x) = 303.224, Yintra = -63.4245, Yextra = 239.799, Igx = 23.5"
"x= 24, f(x) = 91.8486, t(x) = 308.896, Yintra = -62.5992, Yextra = 246.297, Igx = 24.5"
"x= 25, f(x) = 95.4955, t(x) = 314.407, Yintra = -61.7082, Yextra = 252.699, Igx = 25.5"
"x= 26, f(x) = 99.1279, t(x) = 319.768, Yintra = -60.756, Yextra = 259.012, Igx = 26.5"
"x= 27, f(x) = 102.746, t(x) = 324.985, Yintra = -59.7466, Yextra = 265.238, Igx = 27.5"
"x= 28, f(x) = 106.35, t(x) = 330.066, Yintra = -58.6836, Yextra = 271.383, Igx = 28.5"
"x= 29, f(x) = 109.939, t(x) = 335.018, Yintra = -57.5705, Yextra = 277.448, Igx = 29.5"
"x= 30, f(x) = 113.514, t(x) = 339.847, Yintra = -56.4102, Yextra = 283.437, Igx = 30.5"
"x= 31, f(x) = 117.074, t(x) = 344.559, Yintra = -55.2055, Yextra = 289.353, Igx = 31.5"
"x= 32, f(x) = 120.62, t(x) = 349.158, Yintra = -53.959, Yextra = 295.199, Igx = 32.5"
"x= 33, f(x) = 124.151, t(x) = 353.649, Yintra = -52.6732, Yextra = 300.976, Igx = 33.5"
"x= 34, f(x) = 127.668, t(x) = 358.037, Yintra = -51.3502, Yextra = 306.687, Igx = 34.5"
"x= 35, f(x) = 131.171, t(x) = 362.326, Yintra = -49.9921, Yextra = 312.334, Igx = 35.5"
"x= 36, f(x) = 134.659, t(x) = 366.52, Yintra = -48.6007, Yextra = 317.92, Igx = 36.5"
"x= 37, f(x) = 138.133, t(x) = 370.622, Yintra = -47.1779, Yextra = 323.445, Igx = 37.5"
"x= 38, f(x) = 141.593, t(x) = 374.636, Yintra = -45.7253, Yextra = 328.911, Igx = 38.5"
"x= 39, f(x) = 145.038, t(x) = 378.564, Yintra = -44.2444, Yextra = 334.32, Igx = 39.5"
"x= 40, f(x) = 148.468, t(x) = 382.41, Yintra = -42.7367, Yextra = 339.674, Igx = 40.5"
"x= 41, f(x) = 151.885, t(x) = 386.177, Yintra = -41.2036, Yextra = 344.973, Igx = 41.5"
"x= 42, f(x) = 155.286, t(x) = 389.866, Yintra = -39.6463, Yextra = 350.219, Igx = 42.5"
"x= 43, f(x) = 158.674, t(x) = 393.48, Yintra = -38.0661, Yextra = 355.414, Igx = 43.5"
"x= 44, f(x) = 162.047, t(x) = 397.022, Yintra = -36.4641, Yextra = 360.558, Igx = 44.5"
